pred_speed,pred_angle,true_speed,true_angle,speed_rel_error,angle_rel_error,speed_abs_error,angle_abs_error
1.050865859985351562e+02,7.929563522338867188e-02,1.000000000000000000e+02,0.000000000000000000e+00,8.477643132209777832e-03,1.262029167264699936e-02,5.086585998535156250e+00,7.929563522338867188e-02
9.676623535156250000e+01,2.737045288085937500e-04,1.000000000000000000e+02,0.000000000000000000e+00,5.389607977122068405e-03,4.356142744654789567e-05,3.233764648437500000e+00,2.737045288085937500e-04
1.172038116455078125e+02,6.259792327880859375e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.867301926016807556e-02,3.723135916516184807e-03,1.720381164550781250e+01,2.339315414428710938e-02
1.126161956787109375e+02,6.245521068572998047e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.102699317038059235e-02,5.994477309286594391e-03,1.261619567871093750e+01,3.766441345214843750e-02
1.148054809570312500e+02,9.253787994384765625e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.467580139636993408e-02,1.472786068916320801e-02,1.480548095703125000e+01,9.253787994384765625e-02
9.943896484375000000e+01,6.768560409545898438e-02,1.000000000000000000e+02,0.000000000000000000e+00,9.350585751235485077e-04,1.077249832451343536e-02,5.610351562500000000e-01,6.768560409545898438e-02
9.814538574218750000e+01,6.790304183959960938e-02,1.000000000000000000e+02,0.000000000000000000e+00,3.091023769229650497e-03,1.080710440874099731e-02,1.854614257812500000e+00,6.790304183959960938e-02
1.105040817260742188e+02,1.268849372863769531e-01,1.000000000000000000e+02,0.000000000000000000e+00,1.750680245459079742e-02,2.019436471164226532e-02,1.050408172607421875e+01,1.268849372863769531e-01
1.078753356933593750e+02,6.211782932281494141e+00,1.000000000000000000e+02,0.000000000000000000e+00,1.312555931508541107e-02,1.136406883597373962e-02,7.875335693359375000e+00,7.140254974365234375e-02
1.130365524291992188e+02,1.083707809448242188e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.172758802771568298e-02,1.724774483591318130e-03,1.303655242919921875e+01,1.083707809448242188e-02
1.000820541381835938e+02,5.559206008911132812e-01,1.000000000000000000e+02,0.000000000000000000e+00,1.367568911518901587e-04,8.847750723361968994e-02,8.205413818359375000e-02,5.559206008911132812e-01
1.118395690917968750e+02,2.499771118164062500e-02,1.000000000000000000e+02,0.000000000000000000e+00,1.973261497914791107e-02,3.978508990257978439e-03,1.183956909179687500e+01,2.499771118164062500e-02
1.020908813476562500e+02,1.612520217895507812e-02,1.000000000000000000e+02,0.000000000000000000e+00,3.484802320599555969e-03,2.566405571997165680e-03,2.090881347656250000e+00,1.612520217895507812e-02
1.101504898071289062e+02,2.515220642089843750e-02,1.000000000000000000e+02,0.000000000000000000e+00,1.691748388111591339e-02,4.003097768872976303e-03,1.015048980712890625e+01,2.515220642089843750e-02
1.093565597534179688e+02,6.279499530792236328e+00,1.000000000000000000e+02,0.000000000000000000e+00,1.559426635503768921e-02,5.866373539902269840e-04,9.356559753417968750e+00,3.685951232910156250e-03
1.026404495239257812e+02,1.121344566345214844e-01,1.000000000000000000e+02,0.000000000000000000e+00,4.400749225169420242e-03,1.784675195813179016e-02,2.640449523925781250e+00,1.121344566345214844e-01
