pred_speed,pred_angle,true_speed,true_angle,speed_rel_error,angle_rel_error,speed_abs_error,angle_abs_error
1.652756805419921875e+02,6.174809455871582031e+00,1.000000000000000000e+02,9.973309934139251709e-02,1.087928041815757751e-01,3.312155976891517639e-02,6.527568054199218750e+01,2.081089019775390625e-01
1.658043060302734375e+02,6.174510478973388672e+00,1.000000000000000000e+02,9.973309934139251709e-02,1.096738427877426147e-01,3.316914290189743042e-02,6.580430603027343750e+01,2.084078788757324219e-01
1.544481353759765625e+02,9.404230117797851562e-02,1.000000000000000000e+02,9.973309934139251709e-02,9.074689447879791260e-02,9.057186543941497803e-04,5.444813537597656250e+01,5.690798163414001465e-03
1.361761779785156250e+02,2.344198226928710938e-01,1.000000000000000000e+02,9.973309934139251709e-02,6.029362976551055908e-02,2.143605798482894897e-02,3.617617797851562500e+01,1.346867233514785767e-01
1.472259674072265625e+02,6.509160995483398438e-02,1.000000000000000000e+02,9.973309934139251709e-02,7.870994508266448975e-02,5.513363983482122421e-03,4.722596740722656250e+01,3.464148938655853271e-02
1.485439910888671875e+02,6.224679946899414062e-02,1.000000000000000000e+02,9.973309934139251709e-02,8.090665191411972046e-02,5.966129712760448456e-03,4.854399108886718750e+01,3.748629987239837646e-02
1.140650863647460938e+02,1.464304924011230469e-01,1.000000000000000000e+02,9.973309934139251709e-02,2.344181016087532043e-02,7.432120852172374725e-03,1.406508636474609375e+01,4.669739305973052979e-02
1.616728973388671875e+02,1.008772850036621094e-01,1.000000000000000000e+02,9.973309934139251709e-02,1.027881652116775513e-01,1.821027981350198388e-04,6.167289733886718750e+01,1.144185662269592285e-03
1.567772979736328125e+02,2.845444679260253906e-01,1.000000000000000000e+02,1.994661986827850342e-01,9.462883323431015015e-02,1.354062650352716446e-02,5.677729797363281250e+01,8.507826924324035645e-02
1.424384307861328125e+02,4.323177337646484375e-01,1.000000000000000000e+02,1.994661986827850342e-01,7.073071599006652832e-02,3.705947101116180420e-02,4.243843078613281250e+01,2.328515350818634033e-01
1.369000701904296875e+02,2.551522254943847656e-01,1.000000000000000000e+02,1.994661986827850342e-01,6.150011718273162842e-02,8.862705901265144348e-03,3.690007019042968750e+01,5.568602681159973145e-02
1.501447753906250000e+02,2.469029426574707031e-01,1.000000000000000000e+02,1.994661986827850342e-01,8.357462286949157715e-02,7.549792062491178513e-03,5.014477539062500000e+01,4.743674397468566895e-02
1.511287231445312500e+02,4.913573265075683594e-01,1.000000000000000000e+02,1.994661986827850342e-01,8.521454036235809326e-02,4.645591601729393005e-02,5.112872314453125000e+01,2.918911278247833252e-01
1.529611358642578125e+02,3.164224624633789062e-01,1.000000000000000000e+02,1.994661986827850342e-01,8.826856315135955811e-02,1.861416734755039215e-02,5.296113586425781250e+01,1.169562637805938721e-01
1.544799804687500000e+02,4.566912651062011719e-01,1.000000000000000000e+02,1.994661986827850342e-01,9.079996496438980103e-02,4.093863815069198608e-02,5.447998046875000000e+01,2.572250664234161377e-01
1.563789367675781250e+02,3.477931022644042969e-01,1.000000000000000000e+02,1.994661986827850342e-01,9.396489709615707397e-02,2.360695973038673401e-02,5.637893676757812500e+01,1.483269035816192627e-01
1.465525360107421875e+02,5.398082733154296875e-02,1.000000000000000000e+02,1.994661986827850342e-01,7.758755981922149658e-02,2.315471507608890533e-02,4.655253601074218750e+01,1.454853713512420654e-01
1.572118835449218750e+02,4.219536781311035156e-01,1.000000000000000000e+02,1.994661986827850342e-01,9.535314142704010010e-02,3.540997952222824097e-02,5.721188354492187500e+01,2.224874794483184814e-01
1.443787841796875000e+02,2.226381301879882812e-01,1.000000000000000000e+02,1.994661986827850342e-01,7.396464049816131592e-02,3.687927266582846642e-03,4.437878417968750000e+01,2.317193150520324707e-02
1.640368652343750000e+02,4.274926185607910156e-01,1.000000000000000000e+02,1.994661986827850342e-01,1.067281067371368408e-01,3.629153221845626831e-02,6.403686523437500000e+01,2.280264198780059814e-01
1.503205413818359375e+02,4.861965179443359375e-01,1.000000000000000000e+02,1.994661986827850342e-01,8.386757224798202515e-02,4.563454538583755493e-02,5.032054138183593750e+01,2.867303192615509033e-01
1.521254730224609375e+02,4.432840347290039062e-01,1.000000000000000000e+02,1.994661986827850342e-01,8.687578886747360229e-02,3.880481421947479248e-02,5.212547302246093750e+01,2.438178360462188721e-01
1.578194274902343750e+02,5.115714073181152344e-01,1.000000000000000000e+02,1.994661986827850342e-01,9.636571258306503296e-02,4.967308416962623596e-02,5.781942749023437500e+01,3.121052086353302002e-01
1.454280548095703125e+02,4.194173812866210938e-01,1.000000000000000000e+02,1.994661986827850342e-01,7.571342587471008301e-02,3.500631824135780334e-02,4.542805480957031250e+01,2.199511826038360596e-01
1.381205444335937500e+02,4.921488761901855469e-01,1.000000000000000000e+02,1.994661986827850342e-01,6.353423744440078735e-02,4.658189415931701660e-02,3.812054443359375000e+01,2.926826775074005127e-01
1.458795928955078125e+02,4.169988632202148438e-01,1.000000000000000000e+02,1.994661986827850342e-01,7.646598666906356812e-02,3.462139889597892761e-02,4.587959289550781250e+01,2.175326645374298096e-01
1.579325103759765625e+02,4.580430984497070312e-01,1.000000000000000000e+02,1.994661986827850342e-01,9.655418246984481812e-02,4.115379229187965393e-02,5.793251037597656250e+01,2.585768997669219971e-01
1.711446838378906250e+02,8.431291580200195312e-02,1.000000000000000000e+02,1.994661986827850342e-01,1.185744702816009521e-01,1.832721382379531860e-02,7.114468383789062500e+01,1.151532828807830811e-01
1.487346801757812500e+02,5.162630081176757812e-01,1.000000000000000000e+02,1.994661986827850342e-01,8.122446388006210327e-02,5.041977763175964355e-02,4.873468017578125000e+01,3.167968094348907471e-01
1.748414916992187500e+02,4.029774665832519531e-01,1.000000000000000000e+02,1.994661986827850342e-01,1.247358173131942749e-01,3.238982334733009338e-02,7.484149169921875000e+01,2.035112679004669189e-01
1.800401611328125000e+02,3.038196563720703125e-01,1.000000000000000000e+02,1.994661986827850342e-01,1.334002614021301270e-01,1.660836860537528992e-02,8.004016113281250000e+01,1.043534576892852783e-01
1.543001556396484375e+02,2.539167404174804688e-01,1.000000000000000000e+02,1.994661986827850342e-01,9.050025790929794312e-02,8.666072972118854523e-03,5.430015563964843750e+01,5.445054173469543457e-02
